script,basename,path,size_bytes,mtime,exit_code
hgenerate-generate-redirects.js,hgenerate-generate-redirects.js,hgenerate-generate-redirects.js,107,"2025-10-07 01:10:30.368909628 -0700",1
hgenerate-generate-webpage.js,hgenerate-generate-webpage.js,hgenerate-generate-webpage.js,1405,"2025-10-07 01:43:25.833167435 -0700",1
hgenerate-generate_nginx_subdomains.sh,hgenerate-generate_nginx_subdomains.sh,hgenerate-generate_nginx_subdomains.sh,991,"2025-10-10 01:38:01.084732962 -0700",0
hgenerate-regenerate_nginx.sh,hgenerate-regenerate_nginx.sh,hgenerate-regenerate_nginx.sh,4721,"2025-10-10 00:05:35.356771278 -0700",1
hgenerate-sub_gen_1.cjs,hgenerate-sub_gen_1.cjs,hgenerate-sub_gen_1.cjs,1439,"2025-10-09 23:07:35.299549540 -0700",1
spawn-dynamic-topic-spawner.js,spawn-dynamic-topic-spawner.js,spawn-dynamic-topic-spawner.js,2457,"2025-10-06 10:03:32.954506279 -0700",1
spawn-hydra-spawner.js,spawn-hydra-spawner.js,spawn-hydra-spawner.js,601,"2025-10-07 01:43:25.833167435 -0700",0
spawn-spawn_containers.sh,spawn-spawn_containers.sh,spawn-spawn_containers.sh,1447,"2025-10-07 01:43:25.837438328 -0700",0
spawn-spawned-containers.csv,spawn-spawned-containers.csv,spawn-spawned-containers.csv,1192,"2025-10-07 01:43:25.837438328 -0700",127
spawn-spawned-containers.html,spawn-spawned-containers.html,spawn-spawned-containers.html,4793,"2025-10-07 01:43:25.837438328 -0700",2
spawn-spawned-containers.json,spawn-spawned-containers.json,spawn-spawned-containers.json,8890,"2025-10-10 00:06:08.743550362 -0700",2
spawn-spawner.js,spawn-spawner.js,spawn-spawner.js,142,"2025-10-07 00:46:24.271579443 -0700",1
generate-redirects.js_20251010_200953.log,generate-redirects.js_20251010_200953.log,generate-redirects.js_20251010_200953.log,1148,"2025-10-10 20:09:53.305941438 -0700",2
generate-redirects.js_20251010_201035.log,generate-redirects.js_20251010_201035.log,generate-redirects.js_20251010_201035.log,1148,"2025-10-10 20:10:35.255163320 -0700",2
generate-webpage.js_20251010_200953.log,generate-webpage.js_20251010_200953.log,generate-webpage.js_20251010_200953.log,71,"2025-10-10 20:09:53.378915225 -0700",127
generate-webpage.js_20251010_201035.log,generate-webpage.js_20251010_201035.log,generate-webpage.js_20251010_201035.log,71,"2025-10-10 20:10:35.323844092 -0700",127
test-parallel_subdomain_path_test.sh,test-parallel_subdomain_path_test.sh,test-parallel_subdomain_path_test.sh,2229,"2025-10-10 03:22:18.384893893 -0700",0
test-test-topics.js,test-test-topics.js,test-test-topics.js,869,"2025-10-07 01:43:25.845980114 -0700",1
test-test_all_subdomains.sh,test-test_all_subdomains.sh,test-test_all_subdomains.sh,1855,"2025-10-10 01:46:44.336168885 -0700",0
