name,size_bytes,mtime,type
spawn-spawned-containers.html,4793,"2025-10-07 01:43:25.837438328 -0700",text/html
generate-redirects.js_20251010_201035.log,1148,"2025-10-10 20:10:35.255163320 -0700",text/plain
spawn-dynamic-topic-spawner.js,2457,"2025-10-06 10:03:32.954506279 -0700",text/x-java
spawn_containers.sh_20251010_201003.log,1073,"2025-10-10 20:10:10.177617042 -0700",text/plain
test-test-topics.js,869,"2025-10-07 01:43:25.845980114 -0700",text/x-java
spawner.js_20251010_200953.log,677,"2025-10-10 20:09:53.962705517 -0700",text/plain
spawn.20251010_200753-56539.log,1299,"2025-10-10 20:07:57.345586177 -0700",text/plain
nginx_subdomains.conf.new,63,"2025-10-10 20:42:26.320935825 -0700",text/plain
spawn.20251010_200752-56539.log,1582,"2025-10-10 20:07:52.974752132 -0700",text/plain
run_all_streaming.sh,1628,"2025-10-10 20:25:40.946193695 -0700",text/x-shellscript
hgenerate-generate_nginx_subdomains.sh,991,"2025-10-10 01:38:01.084732962 -0700",text/x-shellscript
run_all_folder.sh,2403,"2025-10-10 20:18:20.845071751 -0700",text/x-shellscript
hgenerate-sub_gen_1.cjs,1439,"2025-10-09 23:07:35.299549540 -0700",text/plain
spawn.20251010_200757-56539.log,4633,"2025-10-10 20:07:57.594367703 -0700",text/plain
hydra-spawner.js_20251010_201035.log,0,"2025-10-10 20:10:35.478375829 -0700",inode/x-empty
hgenerate-regenerate_nginx.sh,4721,"2025-10-10 00:05:35.356771278 -0700",text/x-shellscript
test-test_all_subdomains.sh,1855,"2025-10-10 01:46:44.336168885 -0700",text/x-shellscript
inspect.sh,3528,"2025-10-10 20:38:36.107292752 -0700",text/x-shellscript
runtime.stdout.log.20251010_200752-56539.log,309,"2025-10-10 20:07:52.314194287 -0700",text/plain
generate-webpage.js_20251010_200953.log,71,"2025-10-10 20:09:53.378915225 -0700",text/plain
spawn-hydra-spawner.js,601,"2025-10-07 01:43:25.833167435 -0700",text/x-java
hydra-spawner.js_20251010_200953.log,0,"2025-10-10 20:09:53.593544009 -0700",inode/x-empty
sub_gen_1.cjs_20251010_201053.log,62,"2025-10-10 20:10:53.817539306 -0700",text/plain
regenerate_nginx.sh_20251010_201000.log,14467,"2025-10-10 20:10:03.275164991 -0700",text/plain
test-test_subdomains.sh,3188,"2025-10-10 01:31:29.150649171 -0700",text/x-shellscript
parallel_subdomain_path_test.sh_20251010_200953.log,6455,"2025-10-10 20:10:00.480702384 -0700",text/plain
hgenerate.20251010_200752-56539.log,230,"2025-10-10 20:07:52.241275565 -0700",text/plain
spawn-spawn_containers.sh,1447,"2025-10-07 01:43:25.837438328 -0700",text/x-shellscript
spawn-spawned-containers.json,8890,"2025-10-10 00:06:08.743550362 -0700",application/json
regenerate_nginx.sh_20251010_201044.log,14467,"2025-10-10 20:10:47.480549089 -0700",text/plain
results.csv.20251010_200752-56539.log,267,"2025-10-10 20:07:52.279879594 -0700",text/plain
spawner.js_20251010_201035.log,677,"2025-10-10 20:10:35.761684016 -0700",text/plain
hgenerate.20251010_200749-56539.log,18150,"2025-10-10 20:07:52.181224852 -0700",text/plain
sub_gen_1.cjs_20251010_201010.log,62,"2025-10-10 20:10:10.263468591 -0700",text/plain
test.20251010_200802-56539.log,11645,"2025-10-10 20:08:25.693028195 -0700",text/plain
parallel_subdomain_path_test.sh_20251010_201035.log,1676,"2025-10-10 20:10:44.441320801 -0700",text/plain
test_all_subdomains.sh_20251010_201010.log,7913,"2025-10-10 20:10:29.021589307 -0700",text/plain
test-topics.js_20251010_201010.log,1387,"2025-10-10 20:10:10.336442410 -0700",text/plain
test-topics.js_20251010_201053.log,1387,"2025-10-10 20:10:53.881944105 -0700",text/plain
generate_nginx_subdomains.sh_20251010_201035.log,112,"2025-10-10 20:10:35.461205636 -0700",text/plain
runtime.stdout.log,2211,"2025-10-10 20:12:27.637169039 -0700",text/plain
hgenerate-generate-webpage.js,1405,"2025-10-07 01:43:25.833167435 -0700",text/html
spawned-containers.json,3,"2025-10-10 20:42:26.316633277 -0700",application/json
test-parallel_subdomain_path_test.sh,2229,"2025-10-10 03:22:18.384893893 -0700",text/x-shellscript
test_all_subdomains.sh_20251010_201053.log,43629,"2025-10-10 20:12:27.628583947 -0700",text/plain
results.csv,4015,"2025-10-10 20:45:18.693100848 -0700",text/csv
test.20251010_200757-56539.log,14535,"2025-10-10 20:08:02.139134793 -0700",text/plain
dynamic-topic-spawner.js_20251010_200953.log,1287,"2025-10-10 20:09:53.911194609 -0700",text/plain
generate-webpage.js_20251010_201035.log,71,"2025-10-10 20:10:35.323844092 -0700",text/plain
dynamic-topic-spawner.js_20251010_201035.log,1287,"2025-10-10 20:10:35.718758533 -0700",text/plain
run_all_live.sh,1880,"2025-10-10 20:27:46.046609337 -0700",text/x-shellscript
hydra_run,4096,"2025-10-10 20:44:14.279375002 -0700",inode/directory
spawn_containers.sh_20251010_201047.log,1073,"2025-10-10 20:10:53.778896426 -0700",text/plain
combined.log.20251010_200749-56539.log,273,"2025-10-10 20:07:49.169888049 -0700",text/plain
test_subdomains.sh_20251010_201227.log,11783,"2025-10-10 20:12:40.715166018 -0700",text/plain
hgenerate-generate-redirects.js,107,"2025-10-07 01:10:30.368909628 -0700",text/plain
generate_nginx_subdomains.sh_20251010_200953.log,112,"2025-10-10 20:09:53.567788555 -0700",text/plain
spawn-spawner.js,142,"2025-10-07 00:46:24.271579443 -0700",text/plain
combined.log,171348,"2025-10-10 20:12:40.715166018 -0700",text/plain
spawn-spawned-containers.csv,1192,"2025-10-07 01:43:25.837438328 -0700",text/csv
generate-redirects.js_20251010_200953.log,1148,"2025-10-10 20:09:53.305941438 -0700",text/plain
